support_id	category_id	category	user_id	created_on	created_year	created_month	created_day	created_dayname	content_string	content_keyword_string	content_word_count	content_character_count	language	sentiment	problem_rating_identifitication	problem_rating_resolution	note	note_aggregation_level1	note_aggregation_level2	response_first	response_first_agent	response_first_date	response_first_template_id	response_first_days_elapsed	response_templates_used	response_agent_count	status_id	status	status_group	status_escalation_count	message_count	message_count_in	message_count_out	template_count	reward_code	reward_code_type	reward_code_status	email_domain	category_change_count	user_redemption_count	user_redemption_limit	user_redemption_remaining_credits	user_ticket_count	user_account_status	user_account_created_year	user_account_created_date	user_unique_ip_count	user_country_code	user_country_name	user_language	active	zsync_refresh_status	zsync_refresh_data_qc	zsync_refreshed_at
871614	12	Hardware Not Detected	2474743	1/3/2023	2023	1	3	Tuesday		PVT-General	40	231	pt	Frustrated	3	3	PVT Log on Token - Data.ErrorMessages.Hardware.hardwareNotDetectedToken Key Log on User - EQG88A54HWW2PEZQZHWU	Token + PVT	hardwareNotDetected	These promotions require you to have the appropriate qualifying AMD CPU or GPU installed before you attempt to validate your coupon code.You must run the PVT on the system containing the qualifying AMD product.Please see our Terms and Conditions on amdrewards.com for more information on our promotions and their eligibility requirements.www.amdrewards.com/termswww.amdrewards.com/faq	Jamie Morikawa	1/3/2023	199	0	1	1	3	Closed	Active	0	1	0	1	1	EQG88A54HWW2PEZQZHWU	Token	Token Request Expired	null.net	0	0	5	5	0	Is Active	2022	12/31/2022	1	BR	Brazil	pt	1	Locked	LOCKED EXPORTED FOR MODEL TRAININGBATCH 02	2/23/2023 21:54
871685	22	Duplicate Tickets Submitted	2484564	1/4/2023	2023	1	4	Wednesday		null	5	26	de	Frustration	3	3	See Newer Related TicketPVT Log on Token - Data.ErrorMessages.Hardware.hardwareNotDetectedToken Key Log on User - FMFH36E6XQSKYCTUSUR3	Token + PVT + Support See Newer Ticket	hardwareNotDetected	null	null	0001-01-01	0	0	0	0	3	Closed	Active	0	0	0	0	0	FMFH36E6XQSKYCTUSUR3	Token	Assigned	gmail.com	1	1	5	4	0	Is Active	2023	1/3/2023	4	DE	Germany	de	1	Locked	LOCKED EXPORTED FOR MODEL TRAININGBATCH 02	3/1/2023 13:01
875224	0	No Category	709263	2/6/2023	2023	2	6	Monday		null	27	127	zh-TW	Confused	3	3	Redemption Success - 709263 - albert90110568@gmail.comGamekey Activation Detected - on Coupon CheckUID Log - error.hardware.pvtDownloadRequired	Redemption Success + Gamekey Activated	pvtDownloadRequired	"Please explain your issue in detail so we can assist you further.  If possible please attach screen shots of the problem, so we can better understand the situation.Thank you for your cooperation.If you have any other questions, please reply to the e-mail."	Michele Moore	2/6/2023	88	0	2	2	3	Closed	Active	0	2	0	2	2	UX3S3B574EQTKVUE	Coupon	Assigned	gmail.com	0	1	1	0	0	Is Active	2019	5/25/2019	4	TW	Taiwan	zh	1	Locked	LOCKED EXPORTED FOR MODEL TRAININGBATCH 02	2/23/2023 21:59
875816	30	Promotion Question - Game	2590574	2/16/2023	2023	2	16	Thursday	Getting an error message saying I have already redeemed this code even though I haven't	Coupon-Already Used	15	87	en	Optimistic	3	4	PVT Log on Token - successToken Key Log on User - BNBSEWCT47CBR7WW7E9DToken Redemption Success [Rewards - 5463153]	Token + PVT + Redemption Success	null	"We see that you have successfully redeemed your coupon code. Please note, game selection will become available upon its official release. Simply navigate to the My Rewards page after you log into your account to view updates regarding when keys are planned to be released.For games without release dates or games that have been delayed, please refer to the game developer's website. Unfortunately, we do not have any control over delays in release dates.Once the games have been officially released they will be added to your account."	Matthew Willis	2/15/2023	193	0	1	1	3	Closed	Active	0	2	1	1	1	BNBSEWCT47CBR7WW7E9D	Token	Assigned	icloud.com	0	1	5	4	1	Is Active	2023	2/10/2023	1	US	United States	en	1	Locked	LOCKED EXPORTED FOR MODEL TRAININGBATCH 02	3/9/2023 18:29
875817	43	PVT System Guard	2570750	2/16/2023	2023	2	16	Thursday	i got this code from amazon but it says my system is ineligible? Why? i have a ryzen 5 5500 cpu which is what the email said its for	Program Partner-Amazon	29	132	en	Optimistic	3	4	PVT Log on Token - Data.ErrorMessages.Hardware.SystemGuardToken Key Log on User - Y2VZE6GB4CGULGG2L5XX	Token + PVT	systemGuardExtraPermanentBlock	"We received the image of the coupon code that was sent to you.To further assist you, we require the full image of your Purchase Receipt or Invoice from the retailer for your recent AMD purchase. Please do not send a screen capture from your phone.The receipt/invoice image needs to show the following information:- Name of Retailer- AMD Product- Your Name- Receipt Number- Receipt DateIt can be print screen, screen shot, or scanned.Your patience and patronage is most appreciated.NOTE:*************************************************To process your request faster, please reply directly to this e-mail.Creating a new ticket will add to the processing time of your request.You can attach the request information to the reply.*******************************************************"	Matthew Willis	2/15/2023	219	0	1	2	3	Closed	Active	1	3	1	2	1	Y2VZE6GB4CGULGG2L5XX	Token	Assigned	gmail.com	2	1	5	4	1	Is Active	2023	1/29/2023	1	US	United States	en	1	Locked	LOCKED EXPORTED FOR MODEL TRAININGBATCH 02	3/9/2023 18:29
875957	25	PVT Installation Issue	2599469	2/18/2023	2023	2	18	Saturday	"I keep receiving a message that says ""please download the PVT file again and launch once more"". I have reinstalled and tried running it again several times. I have tried downloading it and running it outside of my browser as the instructions suggested. I have tried from both Chrome and Edge. I am trying to download my free promotional reward game from purchasing this AMD processor through Amazon."	PVT-General + Program Partner-Amazon	68	399	en	Optimistic	2	2	null	null	null	"Please try the following:1. Delete any previous PVT files you've used and download the PVT again.  The PVT by default is installed to your C:\Program Files\AMDProduct Verification Tool.  Make sure to use the uninstaller.2. Simply download the PVT from a different browser.3. Temporarily disable your antivirus software 4. Be sure to launch the program from your file browser and not your web browser.  This has worked with other users having the same issue.5. If you have any overclocking software running such as MSI afterburner or have set an XMP profile, please disable it and try to run the PVT tool.6. Please ensure your PC Clock date and time is correct."	philip boustany	2/18/2023	331	0	1	1	3	Closed	Active	0	1	0	1	1	XMKJ458VRP4G44ZCGR2D	Token	Assigned	gmail.com	0	1	5	4	1	Is Active	2023	2/18/2023	1	US	United States	en	1	Locked	LOCKED EXPORTED FOR MODEL TRAININGBATCH 02	3/9/2023 18:29
875963	22	Duplicate Tickets Submitted	2599561	2/18/2023	2023	2	18	Saturday	Why does the coupon show as used when I haven't redeemed anything yet. I received the code from the affiliated store where I purchased AMD Radeon RX 6600. 	null	28	155	en	Optimistic	3	3	null	null	null	null	null	0001-01-01	0	0	0	0	3	Closed	Active	0	0	0	0	0	BL82NX9NEQNJY88DBQ5R	Token	Assigned	gmail.com	1	1	5	4	2	Is Active	2023	2/18/2023	4	PH	Philippines	en	1	Locked	LOCKED EXPORTED FOR MODEL TRAININGBATCH 02	3/9/2023 18:29
875966	24	Promotion Question	0	2/18/2023	2023	2	18	Saturday	I purchased a ryzen 7700x from md computers which is a participating retailer in Jedi survivor game bundle with ryzen 7000 series. But I purchased it few days before the campaign started. Can I please get the reward? 	null	38	217	en	Optimistic	3	3	null	null	null	"Thank you for contacting AMD Rewards Support,Unfortunately purchases must be made within the promotional period to qualify for our current promotion.For more information on our promotions and their eligibility requirements, please refer to our Terms & Conditions down below.https://www.amdrewards.com/termsWe apologize for the inconvenience."	philip boustany	2/18/2023	183	0	1	1	3	Closed	Active	0	2	1	1	1	null	null	null	gmail.com	0	0	0	0	0	null	0	0001-01-01	0	null	null	null	1	Locked	LOCKED EXPORTED FOR MODEL TRAININGBATCH 02	3/9/2023 18:29
876232	0	No Category	2606063	2/23/2023	2023	2	23	Thursday	I forgot to attach a picture of the model and serial number on the back of the machine. However I have submitted photos of the invoice and serial number on the box. I am attaching the picture of the model and serial number on the back of the machine in this ticket. Thank you and I apologize for the overlook. 	null	60	310	en	Optimistic	4	2	null	null	null	"Please explain your issue in detail so we can assist you further.  If possible please attach screen shots of the problem, so we can better understand the situation.Thank you for your cooperation.If you have any other questions, please reply to the e-mail.For more information:www.amdrewards.com/faqwww.amdrewards.com/terms"	Matt Wrong	2/23/2023	88	0	1	2	3	Closed	Active	0	4	2	2	1	null	null	null	gmail.com	0	0	5	5	1	Is Active	2023	2/23/2023	1	SG	Singapore	en	1	Locked	LOCKED EXPORTED FOR MODEL TRAININGBATCH 02	3/9/2023 18:29
876233	29	Potential Fraud	2603451	2/23/2023	2023	2	23	Thursday	"I made this purchase via the kinguin site where it is NEVER specified that one must have an AMD graphics card.This amounts to a false or even fraudulent sale. Without reimbursement from you, I would be obliged to report this problem to the competent authorities."	null	46	264	fr	Optimistic	4	4	null	null	null	Unfortunately to be eligible for this promotion you need to have purchased an eligible CPU from a participating retailer.	Michele Moore	2/23/2023	0	0	0	1	3	Closed	Active	4	1	0	1	0	23DE6UL8PJH8YR8CR6DU	Token	Token Request Expired + Locked	gmail.com	2	0	5	5	2	Is Active	2023	2/21/2023	1	FR	France	fr	1	Locked	LOCKED EXPORTED FOR MODEL TRAININGBATCH 02	3/9/2023 18:29
